"","days_trade","days_year","price","total","daily_return"
"1957-12-19",252,365,2.24080411486517,10.9735076175757,0.0107856286296837
"1957-12-20",252,365,2.22278761620529,10.8865992981684,-0.00791983041667443
"1957-12-21",NA,365,2.22069463710135,10.8776588096453,-0.00082123795303235
"1957-12-22",NA,365,2.22134342598577,10.8821460495414,0.000412518904534975
"1957-12-23",252,365,2.22278761620529,10.8905308059481,0.000770505777861752
"1957-12-24",252,365,2.22503973223118,10.9028758488447,0.00113355750207655
"1957-12-25",NA,365,2.2362999902002,10.9593643333546,0.0051810628033413
"1957-12-26",252,365,2.24756024816923,11.0158662247272,0.0051555810769639
"1957-12-27",252,365,2.23967805685223,10.9785594975293,-0.00338663582480514
"1957-12-28",NA,365,2.23367567171421,10.950458136231,-0.0025596583326446
"1957-12-29",NA,365,2.22909920608614,10.929340324674,-0.00192848657967526
"1957-12-30",252,365,2.22841790627001,10.9273153802294,-0.000185275998775492
"1957-12-31",252,365,2.25150155860133,11.0418326944855,0.0104799129769115
"1958-01-01",NA,365,2.26107283693774,11.0900809754708,0.00436958993314662
"1958-01-02",252,365,2.27064411527415,11.1383405150838,0.0043515948819286
"1958-01-03",252,365,2.3010468225292,11.2887970992391,0.0135079892692793
"1958-01-04",NA,365,2.29894306849309,11.2798142182867,-0.000795734113513857
"1958-01-05",NA,365,2.29233227285495,11.248715150479,-0.0027570549661492
"1958-01-06",252,365,2.29034959356665,11.2403191939271,-0.00074639249368591
"1958-01-07",252,365,2.30836609222653,11.3300707960512,0.00798479123018048
"1958-01-08",252,365,2.30780317060686,11.3286507295869,-0.000125336062753778
"1958-01-09",252,365,2.29429068922514,11.263662770549,-0.00573660187687841
"1958-01-10",252,365,2.27289601652644,11.1599621229854,-0.00920665414759392
"1958-01-11",NA,365,2.27147626640285,11.154313862617,-0.000506118238232101
"1958-01-12",NA,365,2.27418700994038,11.1689473127632,0.00131190948420534
"1958-01-13",252,365,2.27965236460409,11.1971124709991,0.00252173794424926
"1958-01-14",252,365,2.28978645717337,11.2482158760634,0.0045639806866844
"1958-01-15",252,365,2.30780317060686,11.3380533471876,0.00798681960891323
"1958-01-16",252,365,2.31174426626535,11.3587594843077,0.00182625151655946
"1958-01-17",252,365,2.31399616751764,11.3711705069821,0.00109263891814226
"1958-01-18",NA,365,2.31813511416182,11.3928574095759,0.00190718295715153
"1958-01-19",NA,365,2.32415694932995,11.4238030552646,0.00271623215986927
"1958-01-20",252,365,2.32807157051902,11.4443983925099,0.00180284421445864
"1958-01-21",252,365,2.32525653287346,11.4319166051967,-0.00109064599859687
"1958-01-22",252,365,2.31962645758235,11.4055918144902,-0.00230274516650519
"1958-01-23",252,365,2.32863470691229,11.4512371846391,0.00400201680818313
"1958-01-24",252,365,2.34834018520478,11.5494976265146,0.00858077081900732
"1958-01-25",NA,365,2.34720208278188,11.5452691733047,-0.000366115769411257
"1958-01-26",NA,365,2.34293916142666,11.5256693934059,-0.00169764598855093
"1958-01-27",252,365,2.34158405190073,11.5203692599173,-0.000459854721463704
"1958-01-28",252,365,2.34383616792662,11.5328149118716,0.00108031710385514
"1958-01-29",252,365,2.357911570928,11.6034396784013,0.0061238099344687
"1958-01-30",252,365,2.34665120557217,11.5494019742663,-0.00465704184557814
"1958-01-31",252,365,2.34777726358511,11.5563129385259,0.000598382866492386
"1958-02-01",NA,365,2.35100741502463,11.5735822221408,0.00149435929146957
"1958-02-02",NA,365,2.35711121903778,11.6050019038691,0.00271477586846625
"1958-02-03",252,365,2.36691982025794,11.6546690612481,0.00427980605177125
"1958-02-04",252,365,2.39056639420893,11.7724857252235,0.0101089669175705
"1958-02-05",252,365,2.3753649331946,11.6990205695888,-0.00624041152815813
"1958-02-06",252,365,2.37029777952316,11.6754507263538,-0.0020146851691355
"1958-02-07",252,365,2.34946624321773,11.5742240071494,-0.00867004808439209
"1958-02-08",NA,365,2.34358834507881,11.546639436298,-0.00238327604808519
"1958-02-09",NA,365,2.34126873835527,11.5365795225535,-0.000871241697631864
"1958-02-10",252,365,2.33539084021634,11.5089836133141,-0.00239203562767187
"1958-02-11",252,365,2.31455930391091,11.4076883259663,-0.00880141033744997
"1958-02-12",252,365,2.30442499656803,11.3590918174063,-0.00425997863645999
"1958-02-13",252,365,2.3049879181877,11.3632129413314,0.000362803998003702
"1958-02-14",252,365,2.32694572727968,11.472808173845,0.00964473983541714
"1958-02-15",NA,365,2.32435861795767,11.4614124707895,-0.000993279315994799
"1958-02-16",NA,365,2.31729257946638,11.4279283035409,-0.00292146952515671
"1958-02-17",252,365,2.31455930391091,11.4158034195063,-0.00106098705841928
"1958-02-18",252,365,2.31793726317613,11.4338171570025,0.00157796493460127
"1958-02-19",252,365,2.3168114199368,11.4296188460631,-0.000367183669443771
"1958-02-20",252,365,2.30329893855508,11.3643118794365,-0.00571383591230412
"1958-02-21",252,365,2.30160995892247,11.3573255350264,-0.000614761763331528
"1958-02-22",NA,365,2.29771511790568,11.3394525212282,-0.0015736991726758
"1958-02-23",NA,365,2.29258884928206,11.315497889549,-0.00211250337124724
"1958-02-24",252,365,2.28866061393403,11.2974505290479,-0.00159492411887396
"1958-02-25",252,365,2.28640849790815,11.287672507806,-0.000865506887302692
"1958-02-26",252,365,2.30386186017475,11.3751751432342,0.00775205299123538
"1958-02-27",252,365,2.29034959356665,11.3098074119522,-0.00574652525863895
"1958-02-28",252,365,2.29935784289659,11.3556219760173,0.0040508703991422
"1958-03-01",NA,365,2.30539813456143,11.3867895780359,0.00274468471075395
"1958-03-02",NA,365,2.30953813012702,11.4085784372465,0.0019135208445904
"1958-03-03",252,365,2.31568536192385,11.4402875427572,0.00277940899342854
"1958-03-04",252,365,2.32807157051902,11.5028266530928,0.00546656804751677
"1958-03-05",252,365,2.33482791859668,11.5375635752289,0.00301985965568741
"1958-03-06",252,365,2.36466770423205,11.6863754257663,0.0128980308162203
"1958-03-07",252,365,2.36860879989055,11.707228557891,0.00178439690365639
"1958-03-08",NA,365,2.37152757085923,11.7230334309888,0.00135000978409749
"1958-03-09",NA,365,2.37339799076729,11.7336596089258,0.000906435864020727
"1958-03-10",252,365,2.37649099120755,11.75033234747,0.00142093252232489
"1958-03-11",252,365,2.39338143185448,11.8352289701336,0.00722504012254155
"1958-03-12",252,365,2.38775135656337,11.8087817974201,-0.00223461436870176
"1958-03-13",252,365,2.39056639420893,11.824094088221,0.00129668674242067
"1958-03-14",252,365,2.3832473392852,11.7892851020342,-0.0029439030108388
"1958-03-15",NA,365,2.37747364578687,11.7621122305167,-0.00230487864890616
"1958-03-16",NA,365,2.37274312898971,11.7400937131444,-0.00187198667558808
"1958-03-17",252,365,2.36691982025794,11.7126628181349,-0.00233651414372571
"1958-03-18",252,365,2.35847449254767,11.6722502760454,-0.00345032916229226
"1958-03-19",252,365,2.36973485790349,11.729352849762,0.00489216495243605
"1958-03-20",252,365,2.37086091591644,11.7363074250094,0.000592920627127569
"1958-03-21",252,365,2.38831427818304,11.8240873904011,0.00747935123142418
"1958-03-22",NA,365,2.39508537736606,11.8590019464746,0.00295283305347604
"1958-03-23",NA,365,2.39844475802369,11.8770317997714,0.00152035166012388
"1958-03-24",252,365,2.39732274228659,11.8728739810851,-0.000350072202917495
"1958-03-25",252,365,2.38944033619598,11.8352338098253,-0.00317026621521954
"1958-03-26",252,365,2.38155814487899,11.7975856593043,-0.00318102296295675
"1958-03-27",252,365,2.37423887518166,11.7627170235738,-0.0029555738553122
"1958-03-28",252,365,2.37592806958788,11.7724707303982,0.000829205259704979
"1958-03-29",NA,365,2.37609226191965,11.7746703472371,0.000186844111937035
"1958-03-30",NA,365,2.37455227453597,11.7684252955972,-0.00053038016826068
"1958-03-31",252,365,2.37029777952316,11.7486913220515,-0.00167685761263259
"1958-04-01",252,365,2.36072660857355,11.7025998557116,-0.00392311493055086
"1958-04-02",252,365,2.3421469735204,11.6118408446224,-0.00775545709570191
"1958-04-03",252,365,2.33539084021634,11.5796790257644,-0.00276974334116453
"1958-04-04",NA,365,2.33051989405123,11.5568570679664,-0.00197086272833713
"1958-04-05",NA,365,2.32699484037321,11.5407038800852,-0.00139771460234772
"1958-04-06",NA,365,2.32544165494764,11.5343262841505,-0.000552617587371129
"1958-04-07",252,365,2.32694572727968,11.5431112473679,0.000761636440744784
"1958-04-08",252,365,2.33257580257079,11.5723656399844,0.00253435941052182
"1958-04-09",252,365,2.34496222593956,11.6351461589,0.00542503761708812
"1958-04-10",252,365,2.34777726358511,11.6504499632568,0.00131530830363302
"1958-04-11",252,365,2.350029379611,11.6629637235024,0.0010741010248605
"1958-04-12",NA,365,2.35315977121934,11.6798389981521,0.00144691135544739
"1958-04-13",NA,365,2.35743641805253,11.7024073966701,0.00193225253546259
"1958-04-14",252,365,2.36466770423205,11.7396477668103,0.00318228283103417
"1958-04-15",252,365,2.38887741457631,11.861187741155,0.0103529489775953
"1958-04-16",252,365,2.37029777952316,11.7702988691836,-0.00766271253392359
"1958-04-17",252,365,2.37874310723343,11.8135880064622,0.00367782821487284
"1958-04-18",252,365,2.40464179721031,11.9435658125975,0.0110023987686207
"1958-04-19",NA,365,2.41265098761048,11.9847181718391,0.00344556725247358
"1958-04-20",NA,365,2.41731123834875,12.0092441273731,0.00204643573443275
"1958-04-21",252,365,2.41702822057908,12.0092173095246,-2.23310044811242e-06
"1958-04-22",252,365,2.40970895088175,11.9742300905058,-0.0029133638035781
"1958-04-23",252,365,2.40970895088175,11.9756052886035,0.00011484647340998
"1958-04-24",252,365,2.42885150755457,12.0721140020686,0.0080587754137984
"1958-04-25",252,365,2.44123793092334,12.1350646479659,0.00521455031707574
"1958-04-26",NA,365,2.4427060364733,12.1437560721168,0.00071622396773896
"1958-04-27",NA,365,2.43953772892815,12.1293997023362,-0.00118220175828176
"1958-04-28",252,365,2.43335573960634,12.100055824306,-0.0024192358031212
"1958-04-29",252,365,2.42096931623758,12.0398529932505,-0.00497541762861275
"1958-04-30",252,365,2.44574194820151,12.1644180053959,0.0103460575652599
"1958-05-01",252,365,2.45137223826622,12.1938024940473,0.00241560990737977
"1958-05-02",252,365,2.45981735120289,12.2371951970449,0.00355858666882547
"1958-05-03",NA,365,2.46262218944337,12.2525381210511,0.00125379417090188
"1958-05-04",NA,365,2.46256557499312,12.2536474886885,9.05418637696664e-05
"1958-05-05",252,365,2.46544764126761,12.2693797315298,0.00128388244037847
"1958-05-06",252,365,2.47783384986277,12.3324130576308,0.0051374500977408
"1958-05-07",252,365,2.4733298325846,12.311396253974,-0.00170419232299168
"1958-05-08",252,365,2.47670800662343,12.3296093871015,0.00147937185610569
